ID,Tx,Ty,Tz,Q0,Qx,Qy,Qz,flip,origion
175366,33.02,13.89,-1860.95,0.6524,-0.2416,-0.672,0.2537,1,5
175367,35.08,-42.93,-1864.85,0.6242,0.3428,-0.6175,-0.3344,0,5
175368,33.34,-9.76,-1851.59,0.7049,-0.0039,-0.7089,0.0235,0,5
175369,33.1,13.32,-1863.91,0.6709,-0.2189,-0.6674,0.2377,0,5
280516,33.01,27.75,-1863.47,0.6535,-0.2641,-0.6511,0.2813,0,5
280517,33.11,17.17,-1867.51,0.6625,-0.2431,-0.6589,0.2611,0,5
280519,35.31,-50.79,-1876.88,0.6498,0.2927,-0.6421,-0.2831,1,5
280520,35.06,-32.13,-1858.16,0.7004,0.1191,-0.6952,-0.1105,1,5
280521,34.79,-7.31,-1855.43,0.7033,-0.0798,-0.7011,0.0863,1,5
280522,34.69,5.97,-1858.71,0.6783,-0.1967,-0.6782,0.2031,1,5
280523,33.89,-44.44,-1863.21,0.6313,0.3143,-0.6415,-0.3018,0,5
280524,33.57,-22.49,-1852.23,0.7025,0.0427,-0.7104,-0.0224,0,5
280525,33.29,-4.37,-1857.67,0.7001,-0.0987,-0.6977,0.1183,0,5
280529,34.97,-24.38,-1855.73,0.6979,0.1308,-0.6934,-0.1229,1,5
280530,34.76,7.21,-1857.76,0.6828,-0.1803,-0.6827,0.1859,1,5
280534,33.43,-8.74,-1855.26,0.7052,-0.0055,-0.7089,0.0259,0,5
280535,33.19,8.94,-1861.67,0.6744,-0.2095,-0.6706,0.2283,0,5
280537,35.15,-41.67,-1862.22,0.69,0.1704,-0.6846,-0.1618,1,5
280538,34.81,4.92,-1861.37,0.6851,-0.1725,-0.6847,0.1787,1,5
280540,33.69,-41.37,-1857.48,0.6747,0.1927,-0.6907,-0.1752,0,5
280541,33.28,4.14,-1862.39,0.6884,-0.1594,-0.6849,0.1787,0,5
