Image ID,x (cm),y (cm),z(cm),,Zx(cm),Zy(cm),Zz(cm)
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.09078963090144931,-0.04322019744903155,-0.0984635434288208
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08962838670776252,-0.040615095271867796,-0.09864537063853263
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08846714251407595,-0.03800999309470399,-0.09882719784824268
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08730589832038915,-0.03540489091754018,-0.09900902505795628
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08614465412670258,-0.03279978874037637,-0.0991908522676681
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08498340993301556,-0.030194686563212614,-0.09937267947737993
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08382216573932921,-0.02758958438604886,-0.09955450668709354
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0826609215456422,-0.024984482208885106,-0.09973633389680536
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08149967735195562,-0.022379380031721352,-0.09991816110651897
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.08033843315826883,-0.019774277854557543,-0.10009998831623079
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07917718896458226,-0.01716917567739379,-0.10028181552594262
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07801594477089546,-0.014564073500230035,-0.10046364273565622
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07685470057720889,-0.01195897132306628,-0.10064546994536627
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0756934563835221,-0.009353869145902527,-0.1008272971550781
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07453221218983552,-0.006748766968738662,-0.10100912436478993
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0733709679961485,-0.004143664791574908,-0.10119095157450353
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07220972380246216,-0.0015385626144110987,-0.10137277878421536
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.07104847960877514,0.0010665395627526553,-0.10155460599392896
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06988723541508857,0.003671641739916409,-0.10173643320364079
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06872599122140177,0.006276743917080219,-0.10191826041335261
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0675647470277152,0.008881846094243973,-0.10210008762306622
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0664035028340284,0.011486948271407726,-0.10228191483277804
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06524225864034183,0.014092050448571536,-0.10246374204248809
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06408101444665504,0.016697152625735345,-0.10264556925219992
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06291977025296847,0.0193022548028991,-0.10282739646191352
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.06175852605928145,0.021907356980062853,-0.10300922367162535
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.0605972818655951,0.024512459157226607,-0.10319105088133895
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05943603767190808,0.027117561334390416,-0.10337287809105078
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05827479347822151,0.02972266351155417,-0.1035547053007626
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.057113549284534715,0.03232776568871798,-0.10373653251047621
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05595230509084814,0.034932867865881734,-0.10391835972018804
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05479106089716135,0.03753797004304554,-0.10410018692990164
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.053629816703474775,0.0401430722202093,-0.10428201413960991
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05246857250978798,0.04274817439737305,-0.10446384134932352
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05130732831610141,0.045353276574536805,-0.10464566855903534
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.05014608412241439,0.047958378751700614,-0.10482749576874895
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04898483992872804,0.050563480928864424,-0.10500932297846077
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.047823595735041025,0.05316858310602818,-0.1051911501881726
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04666235154135445,0.05577368528319199,-0.1053729773978862
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04550110734766766,0.05837878746035574,-0.10555480460759803
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.044339863153981085,0.060983889637519495,-0.10573663181731163
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04317861896029429,0.06358899181468325,-0.10591845902702346
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04201737476660772,0.06619409399184706,-0.10610028623673351
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.04085613057292092,0.06879919616901087,-0.10628211344644534
897013,-1.3131554945504729,-0.39802763171633504,13.14099825592153,,0.03969488637923435,0.07140429834617462,-0.10646394065615894
