Image ID,x1 (cm),y1 (cm),z1(cm),,Zx(cm),Zy(cm),Zz(cm),,Yx(cm),Yy(cm),Yz(cm),,Xx(cm),Xy(cm),Xz(cm)
422104,-3.9870479108829335,-3.1736365050737434,14.252227238458682,,0.06658080627937712,2.9187462995399316,-0.6902804032834364,,2.353445036128975,0.37717357487678793,1.8218223174433188,,-1.8592642249435865,0.5819451291458826,2.2813321565498317
422105,-1.1280581282131519,0.5302029583719823,14.056369724331947,,0.19552996963098868,-0.1890706723200511,-2.9876446093611193,,-2.5672367148520965,-1.5506165052542782,-0.06988636167681506,,1.5398258605736947,-2.561218603419367,0.26286038995449346
422107,-1.193781879071085,0.3251243361075062,14.013593294376012,,0.1617679443492035,0.1154455334458474,-2.993410005493473,,2.291872380188736,-1.935173919782434,0.049222892254540795,,1.9290288035975633,2.2894921334220157,0.19254517882736089
422108,-4.506908318515624,-1.67925232604508,13.713257526055902,,0.34368527895969514,-0.22788543018692864,-2.9715229529207594,,2.658187049854786,1.3759610401926081,0.20192281658194133,,-1.3475615151119094,2.656087243781836,-0.35955321776991767
422109,-0.961131300080714,1.1390295907611485,14.189624023466255,,0.10695556388174232,-0.22998954988025355,-2.9892583217749227,,-2.7554601257080282,-1.1863329973739385,-0.007315393007472082,,1.181524440283749,-2.7458548443586097,0.25353731623674136
422111,-0.9794981339189874,-0.8012855174310246,13.613778516649651,,0.09373761497753219,0.08749319681136314,-2.997258447323162,,1.1144231478278575,-2.7849423948654928,-0.04644248988052979,,2.7837518400755075,1.1119535951614987,0.11951943391618514
422114,-2.190587618191139,-2.977725133499427,13.603642044620647,,0.18341043402005175,-0.16750695719863495,-2.9896993213336067,,1.1853947884349834,2.7546647313168617,-0.08161748336099173,,-2.749763591337218,1.1763348321498674,-0.23459870934680715
422115,-2.43054457960008,-0.3050797276523788,13.365262503631618,,0.06385489723150028,0.1705915605940053,-2.994465072688884,,1.4242269530129124,-2.6376510601690164,-0.11989358240045078,,2.6396022689812777,1.4190473579987954,0.13712934531139176
422117,-1.7060386662188107,-3.195549232144929,13.969894089006555,,0.022855543470738482,0.07143179600657579,-2.9990623739182105,,2.327634190749567,-1.8924512745744888,-0.027335826583701817,,1.892510686412702,2.3266984488499305,0.06984003102128433
422119,-0.5875134569166184,-0.1705182856299512,14.14573857600281,,0.0593313500497209,0.07049079471283082,-2.9985848059979947,,2.3392969182205916,-1.8782133471514504,0.0021333039610667015,,1.8772772089664653,2.338235589166092,0.09211194413418333
422121,-1.2310371915938998,-0.12120856865236256,13.077939459417838,,0.056181668245267824,0.035408986333149886,-2.9992648805732465,,2.3951868185469793,-1.8062463524219496,0.02354184829595063,,1.8055258858327035,2.3950407758635883,0.062096356888087456
422123,-0.08689591842468598,2.4899498647395673,13.566127803786847,,0.046804712047073364,-0.054904369873948866,-2.9991323460459256,,2.4264679962733493,-1.7627630884128123,0.0701381293628831,,1.7635368955571613,2.426860483072332,-0.01690602586477219
